function	1103_V2_D1_pb	1103_V6_D29_pb	2103_V2_D1_pb	2103_V6_D29_pb	2202_V2_D1_pb	2202_V5_D22_pb	3204_V2_D1_pb	3204_V6_D29_pb	3216_V2_D1_pb	3216_V6_D29_pb	3218_V2_D1_pb
EC:1.6.3.3	0	0	0	0	0	0	0	0	15	68	0
EC:1.6.99.3	306	115	23	15	6	68	9	13	13	4	89
EC:1.7.2.3	63	29	4	0	9	13	16	7	1	5	3
EC:1.8.5.3	84	16	18	19	73	131	172	233	14	13	130
EC:1.8.7.3	10	20	33	32	0	28	0	0	24	169	53
EC:1.12.1.3	1027	443	264	190	258	249	227	413	208	355	375
EC:1.16.3.3	0	0	0	0	0	0	0	4	12	15	0
EC:1.17.5.3	31	11	0	0	5	4	12	2	0	0	0
EC:1.17.7.3	30	123	62	19	56	131	44	68	11	14	167
EC:1.18.1.3	3	0	0	0	0	0	8	0	0	0	0
EC:1.20.4.3	2	0	20	21	8	7	8	3	10	34	7
EC:1.21.4.3	3	1	0	0	0	2	13	13	0	0	0
EC:1.21.98.3	7	15	20	2	28	9	67	67	21	90	47
EC:2.1.3.3	1591	723	1325	1197	611	726	1236	1175	714	924	903
EC:2.3.2.3	93	10	195	176	16	23	17	22	90	108	99
EC:2.3.3.3	501	196	378	246	100	201	639	569	110	46	181
EC:2.4.2.3	848	474	781	670	184	371	615	463	192	178	398
EC:2.5.1.3	1463	866	971	896	450	637	563	569	466	542	748
EC:2.7.2.3	1286	811	1605	1206	573	901	1241	1068	616	667	899
EC:2.7.4.3	1683	920	1186	1055	720	981	1200	1113	700	905	903
EC:2.7.6.3	85	201	206	141	25	228	14	50	63	127	248
EC:2.7.7.3	1004	536	896	673	492	501	568	507	338	622	624
EC:2.7.9.3	1016	425	902	542	372	477	802	694	383	250	373
EC:2.7.13.3	17545	9996	18058	12957	7318	10246	17701	14187	9877	8984	10256
EC:2.8.4.3	1186	629	1051	957	526	597	769	727	331	597	804
EC:2.9.1.3	21	12	0	0	8	1	13	4	1	4	1
EC:3.1.1.3	1	32	42	16	1	7	5	17	14	27	74
EC:3.1.3.3	324	224	665	605	501	354	152	181	209	617	538
EC:3.1.4.3	902	501	23	16	120	106	1849	1317	1	0	64
EC:3.1.11.3	14	9	0	0	1	2	0	2	0	1	0
EC:3.1.21.3	2025	932	2854	1975	620	846	1700	1406	1008	1111	1291
EC:3.1.26.3	1386	731	1287	955	434	722	668	666	496	660	869
EC:3.2.1.3	48	240	184	133	8	327	9	16	15	17	238
EC:3.2.2.3	0	0	0	1	0	0	0	0	0	0	0
EC:3.4.19.3	183	110	238	281	215	86	151	106	158	494	177
EC:3.4.24.3	0	0	0	0	0	0	0	0	0	0	1
EC:3.5.1.3	305	235	738	478	90	173	34	38	124	342	228
EC:3.5.2.3	1729	826	1122	812	600	761	829	818	493	689	891
EC:3.5.4.3	460	267	113	88	56	170	18	29	82	141	184
EC:3.6.1.3	36	15	7	1	2	83	11	8	0	2	0
EC:3.7.1.3	0	0	0	0	0	0	0	1	0	0	0
EC:4.1.3.3	595	295	212	161	179	488	138	209	193	105	464
EC:4.1.99.3	25	14	0	0	0	1	15	4	1	0	0
EC:4.2.1.3	1843	983	1328	1144	818	729	1178	1027	550	845	874
EC:4.2.2.3	0	0	3	1	0	7	0	0	0	0	0
EC:4.2.3.3	1417	919	1632	1138	400	1072	1143	1062	700	402	1130
EC:4.3.1.3	210	300	412	300	246	334	235	182	60	61	401
EC:4.3.2.3	16	11	0	1	5	1	9	4	1	1	0
EC:4.3.99.3	474	263	271	352	103	175	10	56	149	208	218
EC:4.99.1.3	1094	537	601	652	355	342	466	541	282	412	408
EC:5.1.1.3	1322	638	1093	936	550	556	707	570	414	605	723
EC:5.1.2.3	3	0	0	0	0	0	0	0	0	0	0
EC:5.1.3.3	1414	1042	1317	1033	583	971	865	677	532	744	1197
EC:5.1.99.3	13	12	0	8	1	14	22	35	7	1	2
EC:5.3.99.3	0	2	0	0	0	0	0	0	0	0	0
EC:5.4.3.3	2	0	34	16	2	8	0	0	6	0	11
EC:6.1.1.3	1770	1033	1964	1560	901	1069	1910	1687	856	1107	1321
EC:6.2.1.3	1628	1068	2042	1690	1024	1310	1251	1217	652	1371	1796
EC:6.3.2.3	7	0	0	0	0	0	2	1	1	0	0
EC:6.3.3.3	509	289	195	206	35	185	39	52	86	41	210
EC:6.3.4.3	1924	1120	2002	1759	1261	1056	2231	1843	1010	1414	1300
EC:6.3.5.3	2096	1106	1782	1677	984	1091	1419	1416	832	1289	1305
EC:6.4.1.3	2	1	0	2	0	0	3	1	0	1	0
EC:7.1.1.3	22	7	0	0	2	1	6	1	0	0	0
EC:7.2.4.3	1179	707	1021	887	260	599	727	801	297	161	759
EC:7.3.2.3	518	319	629	604	178	185	498	389	211	74	343
EC:7.6.2.3	0	0	1	0	0	0	0	0	0	0	0
EC:1.1.2.4	56	25	74	73	159	26	0	0	50	163	63
EC:1.1.5.4	27	8	0	1	3	1	8	5	2	0	0
EC:1.2.4.4	18	60	26	23	8	90	3	11	8	4	111
EC:1.2.7.4	336	249	302	449	336	222	805	849	274	310	252
EC:1.3.5.4	239	77	197	166	149	371	325	437	104	90	306
EC:1.3.8.4	0	0	2	0	0	0	0	0	0	0	0
EC:1.3.99.4	1	0	0	2	0	5	0	0	0	2	2
EC:1.4.1.4	1619	1039	2560	1579	801	1369	1268	1150	861	1131	1589
EC:1.6.3.4	1005	669	931	778	286	524	944	816	523	495	626
EC:1.8.1.4	575	368	403	296	174	417	169	197	154	393	444
EC:1.8.5.4	0	0	6	2	0	1	1	0	0	0	18
EC:1.11.2.4	0	0	0	0	1	0	0	0	0	0	0
EC:1.12.1.4	0	0	0	1	0	0	0	0	0	2	1
EC:1.12.98.4	207	177	268	421	307	148	452	411	222	278	134
EC:1.13.11.4	1	0	0	0	0	0	0	0	0	0	0
EC:1.13.12.4	6	0	2	0	1	0	0	0	0	0	0
EC:1.14.11.4	0	1	0	0	0	0	0	0	0	0	0
EC:1.17.1.4	538	243	109	81	85	85	61	98	98	202	90
EC:1.17.7.4	655	362	557	463	276	350	403	352	233	357	424
EC:1.20.4.4	482	231	597	384	130	173	384	411	182	358	108
EC:1.21.4.4	0	0	0	0	0	3	23	45	0	0	2
EC:1.21.98.4	14	99	55	8	2	64	1	3	4	4	56
EC:1.97.1.4	3514	2037	3044	2827	1411	1597	2289	2028	1453	1808	2170
EC:2.4.1.4	1218	592	895	506	311	438	215	230	427	230	434
EC:2.4.2.4	23	10	0	0	6	1	5	2	2	0	1
EC:2.7.1.4	2296	1471	2649	1603	1015	1532	1337	1094	934	812	1619
EC:2.7.2.4	1727	1212	1947	1681	884	1076	1260	1299	725	869	1323
EC:2.7.7.4	1007	813	1113	1051	406	762	1132	1183	443	273	912
EC:2.8.1.4	882	543	839	768	395	518	767	743	468	532	553
EC:2.8.4.4	1201	684	1217	686	526	751	694	648	426	353	732
EC:3.1.1.4	0	1	0	0	0	0	0	0	0	0	0
EC:3.1.4.4	0	1	0	0	0	0	0	0	0	0	0
EC:3.1.21.4	267	155	63	39	17	66	457	292	74	15	90
EC:3.1.22.4	364	167	388	401	149	164	39	75	171	478	317
EC:3.1.26.4	1641	953	1782	1338	724	855	782	733	642	1148	1159
EC:3.2.1.4	764	586	774	552	43	372	642	407	304	193	770
EC:3.2.2.4	41	50	151	131	7	94	14	12	5	11	103
EC:3.4.11.4	996	635	1041	819	418	615	758	653	440	460	665
EC:3.4.14.4	29	172	148	102	7	230	11	14	9	13	197
EC:3.4.16.4	4485	2523	3587	3296	1561	1928	2322	2187	1742	1684	2523
EC:3.5.1.4	49	32	27	14	22	31	55	76	18	16	35
EC:3.5.4.4	493	226	709	331	202	426	535	370	146	294	185
